,address,language,source,pages,date,publisher,booktitle,title,author,ENTRYTYPE,idCode,unmatched-pages,volume,journal,number,organization,medium,unmatched-author,editor,director,producer,type,note,unmatched-booktitle,url,unmatched-volume,more-authors,unknown,institution,unmatched-journal
0,"New York, NY, USA",,Performance Engineering Compan- ion. ICPE’17 Companion,73–76,2017,ACM Press,Proceedings of the 8th ACM/SPEC on International Conference on,Reproducible Load Tests for Android Systems with Trace-based Benchmarks,"Lochmann, A. and Bruckner, F. and Spinczyk, O.",inproceedings,lochmann2017a,,,,,,,,,,,,,,,,,,,
1,In,,May,"""pp. 315–336 (cit."" # ""pp. 65, 80).""",2016,Machine Learning 104.2-3,,Interpretable Domain Adaptation via Optimization over the Stiefel Manifold,"Pölitz, C. and Duivesteijn, W. and Morik, K.",book,poelitz2016a,"pp. 65, 80).",,,,,,,,,,,,,,,,,,
2,,,March,"""pp. 17,"" # ""78).""",2018-07-03,,"30th Euromicro Conference on Real-Time Systems, ECRTS",Eﬃciently Approximating the Probability of Deadline Misses in Real- Time Systems,"von der Brüggen, G. and Piatkowski, N. and Chen, K.-H. and Chen, J.-J. and Morik, K.",article,von2018a,78).,70,LIPIcs,,,,,,,,,,,,,,,,
3,"California, USA, Au",,May,68,2018,,"Proceedings of the Thirty-Fourth Confer- ence on Uncertainty in Artiﬁcial Intelligence, UAI 2018",Fast Stochastic Quadrature for Approximate Maximum-Likelihood Estimation,"Piatkowski, N. and Morik, K.",inproceedings,piatkowski2018a,,,,,,,,,,,,,,,,,,,
4,"New York, USA",,May,68,2016-06-19,JMLR: W&CP. JMLR.org,"Proceedings of the 33rd International Conference on Machine Learning, ICML 2016",Stochastic Discrete Clenshaw-Curtis Quadra- ture,"Piatkowski, N. and Morik, K.",inproceedings,piatkowski2016a,,,,,,,,,,,,,,,,,,,
5,,,May,"""pp. 9–"" # ""pp. 16, 67).""",2016-01-23,,,“Integer undirected graphical models for resource-constrained systems”. In: Neurocomputing 173.1,"Piatkowski, N. and Lee, S. and Morik, K.",misc,piatkowski2016b,"pp. 16, 67).",,,,,,,,,,,,,,,,,,
6,,,May,71,2018-08,,"2018 IEEE 88th IEEE Vehicular Technology Conference (VTC-Fall). Chicago, USA",Machine Learn- ing Based Uplink Transmission Power Prediction for LTE and Upcoming 5G Net- works using Passive Downlink Indicators,"Falkenberg, R. and Sliwa, B. and Piatkowski, N. and Wietfeld, C.",incollection,falkenberg2018a,,,,,,,,,,,,,,,,,,,
7,,,May,"""pp. 209–222 (cit."" # ""pp."" # ""303).""",2018-01-19,,IEEE Transactions on Circuits and Systems I: Regular Papers 65-I.1,Decision Tree and Random Forest Implemen- tations for Fast Filtering of Sensor Data,"Buschjäger, S. and Morik, K.",incollection,buschjaeger2018a,pp. 303).,69,,75,,,,,,,,,,,,,,,
8,,,May,"""pp. 1090–1131 (cit."" # ""pp. 68,"" # ""287).""",2017-07,,,“The PRIMPING routine—Tiling through proximal alternating linearized minimization”. In: Data Mining and Knowl- edge Discovery 31.4,"Hess, S. and Morik, K. and Piatkowski, N.",misc,hess2017a,"pp. 68, 287).",71,,80,,,,,,,,,,,,,,,
9,"Mission Valley, San Diego, CA",,May,"""pp. 405–413 (cit."" # ""pp. 71, 80, 274, 287).""",2018-05-03,,"Proceedings of the 2018 SIAM International Conference on Data Mining, SDM",The Trustworthy Pal: Controlling the False Discovery Rate in Boolean Matrix Factorization,"Hess, S. and Piatkowski, N. and Morik, K.",inproceedings,hess2018a,"pp. 71, 80, 274, 287).",,,,USA. SIAM,on,,,,,,,,,,,,,
10,"Sydney, Australia",,May,18–87,2017-08,,"Proceedings of the 34th Interna- tional Conference on Machine Learning, ICML 2017",Clustering High Dimensional Dynamic Data Streams,"Braverman, V. and Frahling, G. and Lang, H. and Sohler, C. and Yang, L.F.",inproceedings,braverman2017a,,,,,,,Y. W. Teh.,,,,,,,,,,,,
11,"Los Angeles, CA, USA, Febuary 6-8",,May,18–87,2018,,"Proceedings of the Eleventh ACM International Conference on Web Search and Data Mining, (WSDM) 2018",Sketch’Em All: Approximate Similarity Search for Dynamic Data Streams,"Bury, M. and Schwiegelshohn, C. and Sorella, M.",inproceedings,bury2018a,,,,,,,"Y. Maarek and Y. Liu. ACM,",,Ed,Ed.,,,,,,,,,
12,"Berkeley, CA",,May,"""15-17."" # ön p. 87).""",2017-10,,Proceedings of the 58th Annual IEEE Symposium on Foundations of Computer Science (FOCS 2017),On the Local Structure of Stable Clustering Instances,"Cohen-Addad, V. and Schwiegelshohn, C.",inproceedings,cohen-addad2017a,on p. 87).,,,,,,,"Umans, C.",,,,,,,,,,,
13,"Warsaw, Poland",,May,88,2017-07,,"44th International Colloquium, ICALP 2017",Distributed Monitoring of Network Properties: The Power of Hybrid Networks,"Gmyr, R. and Hinnenthal, K. and Scheideler, C. and Sohler, C.",inproceedings,gmyr2017a,,,,,,,"10-14. Proceedings. Ed. by P. Indyk, F. Kuhn, and A. Muscholl.",,,,,,,,,,,,
14,In,,May,16–90,2017,Datenbank-Spektrum (July,,Energy Eﬃciency in Main-Memory Da- tabases,"Noll, S. and Funke, H. and Teubner, J.",book,noll2017a,,,,,,,,,,,,,,,,,,,
15,"Paris, France",,May,91,2018-04,,Proc. of the 34th IEEE Int’l Conference on Data Engineering (ICDE),Accelerating Concurrent Workloads with CPU Cache Partitioning,"Noll, S. and Teubner, J. and May, N. and Böhm, A.",incollection,noll2018a,,,,,,,,,,,,,,,,,,,
16,,,May,766–785,2016,SIAM,Proceedings of the 27th Symposium on Discrete Algorithms,Clustering time series under the Fréchet distance,"Driemel, A. and Krivošija, A. and Sohler, C.",inproceedings,driemel2016a,,,,,,,,"Krauthgamer, SODAby R.",,,,,,,,,,,
17,In,,May,"""pp. 37–53 (cit."" # ""pp. 18, 94, 316).""",2018,KI - Künstliche Intelligenz 32.1,,Coresets - Methods and History: A Theoreticians Design Pattern for Approximation and Streaming Algorithms,"Munteanu, A. and Schwiegelshohn, C.",book,munteanu2018a,"pp. 18, 94, 316).",,,,,,,,,,,,,,,,,,
18,,,May,91–97,2018-06,,Proceedings of the 2018 ACM SIG- MOD Conference on Management of Data,Pipelined Query Pro- cessing on Coprocessor Environments,"Funke, H. and Breß, S. and Noll, S. and Markl, V. and Teubner, J.",inproceedings,funke2018a,,,,,,,,,,,,,,,,,,,
19,,,May,"""pp. 88, 316,"" # ""326).""",,,,On Core- sets for Logistic Regression,"Munteanu, A. and Schwiegelshohn, C. and Sohler, C. and Woodruﬀ, D.P.",misc,munteanu-a,326).,317,,,,,,,,,Tech. rep. arXiv,"1805.08571 [cs. DS], 2018 (cit. on",,,,,,,
20,,,May,1–5,2016,,,mlr: Machine Learning in R,,article,b2016a,,17,In: Journal of Machine Learning Research,170,,,,,,,,,,,,,,,
21,,,May,16–107,,,SAC 2016 31st ACM Sympo- sium on Applied Computing. 2016 (cit. on,mmapcopy: Eﬃcient Memory Foot- print Reduction using Application-Knowledge,"Korb, I. and Kotthaus, H. and Marwedel, P.",incollection,korb-a,,,,,,,,,,,,,,,,,,,
22,,,May,"""pp. 1–18 (cit."" # ""p. 110).""",2017,,Computational and Mathematical Methods in Medicine 2017,A multi-criteria approach to ﬁnd predictive and sparse models with stable feature selection for high-dimensional data,"Bommert, A. and Rahnenführer, J. and Lang, M.",incollection,bommert2017a,p. 110).,,,,,,,,,,,,,,,,,,
23,,,May,"""pp. 180–195 (cit."" # ""pp. 108, 117).""",2017,,Proceedings of the 11th Interna- tional Conference: Learning and Intelligent Optimization (LION 11). Lecture Notes in Computer Science,RAMBO: Resource-Aware Model-Based Opti- mization with Scheduling for Heterogeneous Runtimes and a Comparison with Asynchronous Model-Based Optimization,"Kotthaus, H. and Richter, J. and Lang, A. and Thomas, J. and Bischl, B. and Marwedel, P. and Rahnenführer, J. and Lang, M.",inproceedings,kotthaus2017a,"pp. 108, 117).",,,,,on,,,,,,,,,,,,,
24,,,May,"""pp. 267–273 (cit."" # ""pp. 16, 108).""",2016,Springer International Publishing,Proceedings of the 10th International Conference: Learning and Intelligent Optimization (LION,Faster Model-Based Optimization through Resource-Aware Schedul- ing Strategies,"Richter, J. and Kotthaus, H. and Bischl, B. and Marwedel, P. and Rahnenführer, J. and Lang, M.",inproceedings,richter2016a,"pp. 16, 108).",10,,10079,,,,,,,,,Lecture Notes in Computer Science (LNCS).,,,,,,
25,"Caparica, Portugal",,May,"""pp. 203–210 (cit."" # ""p. 107).""",2017,,"8th IFIP WG 5.5/SOCOLNET Advanced Doctoral Conference on Computing, Electrical and Industrial Systems, DoCEIS 2017. Costa de",“Quality Evaluation Strategies for Approximate Computing in Embedded Systems”. In: Technolog- ical Innovation for Smart Systems,"Neugebauer, O. and Marwedel, P. and Kühn, R. and Engel, M.",incollection,neugebauer2017a,p. 107).,,,,,,,,,,,,,,,,,,
26,"Austin, TX, USA",,May,107,2016-06,ACM,,“MIRROR: Symmetric Timing Analysis for Real-Time Tasks on Multicore Platforms with Shared Resources”. In: Design Automation Conference (DAC),"Huang, W.-H. and Chen, J.-J. and Reineke, J.",book,huang2016a,,,,,,,,,,,,,,,,,,,
27,,,May,"""pp. 17,"" # ""107).""",2016-12,,"Real-Time Systems Symposium (RTSS). Porto, Portugal",Resource-Oriented Partitioned Scheduling in Multiprocessor Systems: How to Partition and How to Share?,"Huang, W.-H. and Yang, M. and Chen, J.-J.",incollection,huang2016b,107).,70,,78,,,,,,,,,,,,,,,
28,,,May,,2017,,,mlrMBO: A Modular Framework for Model-Based Optimization of Expensive Black-Box Functions,"Bischl, B. and Richter, J. and Bossek, J. and Horn, D. and Thomas, J. and Lang, M.",misc,bischl2017a,,,,,,,,,,,,,,http://arxiv.org/abs/1703.03373.,,,,,
29,,,May,,2018,,,Methods for Eﬃcient Resource Utilization in Statistical Machine Learning Algorithms,"Kotthaus, H.",incollection,kotthaus2018a,,,,,,,,,,,,,,,,,,,
30,"Torino, Italy",,May,141–251,2017-11,,IEEE Vehicular Networking Conference (VNC),Lightweight joint simulation of vehicular mobility and communica- tion with LIMoSim,"Sliwa, B. and Pillmann, J. and Eckermann, F. and Habel, L. and Schreckenberg, M. and Wietfeld, C.",incollection,sliwa2017a,,,,,,,,,,,,,,,,,,,
31,,,May,"""pp. 1–6 (cit."" # ""pp. 129, 138).""",2015-06,,"IEEE 16th International Symposium on World of Wireless, Mobile and Multimedia Networks (WoWMoM)",PhyNetLab: Architecture design of ultra-low power Wire- less Sensor Network testbed,"Venkatapathy, A.K.Ramachandran and Roidl, M. and Riesner, A. and Emmerich, J. and ten Hompel, M.",incollection,venkatapathy2015a,"pp. 129, 138).",,,,,,,,,,,,,,,,,,
32,"Sapporo, Japan",,April,"""pp. 1–7 (cit."" # ""pp. 132, 142).""",2017-09,,,Scalable and Precise Multi-UAV Indoor Nav- igation using TDOA-based UWB Localization,"Tiemann, J. and Wietfeld, C.",incollection,tiemann2017a,"pp. 132, 142).",,,,,,,In,,,,,,,,,,,
33,,,May,"""pp. 1063"" # ""pp. 15, 133).""",2018,1068 (cit. on,,Energy Models in the Loop,"Buschhoﬀ, M. and Friesel, D. and Spinczyk, O.",article,buschho2018a,"pp. 15, 133).",130,In: Procedia Computer Science,,,,,,,,,,,,,,,,
34,,,May,15–133,2018,,,Energy-Aware Device Drivers for Embedded Operating Systems,"Buschhoﬀ, M. and Falkenberg, R. and Spinczyk, O.",article,buschho2018b,,,In: SIGBED Review,,,,,,,,,,,,,,,,
35,,,May,"""pp. 1–6 (cit."" # ""p. 133).""",2015-12,,IEEE International Renewable and Sustainable Energy Conference (IRSEC),A Gray Box Modeling of a Photovoltaic Cell under Low Illumination in Materials Han- dling Application,"Masoudinejad, M. and Kamat, M. and Emmerich, J. and ten Hompel, M.",incollection,masoudinejad2015a,p. 133).,,,,,,,,,,,,,,,,,,
