,dc:title,@_fa,link,prism:url,dc:identifier,eid,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,freetoread,freetoreadLabel,pubmed-id,pii,prism:isbn,year
9,Amplitude analysis of B- →d+π-π- decays,True,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84992043935'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84992043935?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84992043935&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84992043935&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84992043935,84992043935,2-s2.0-84992043935,Aaij R.,Physical Review D,24700010,24700029,94,7,,2016-10-05,5 October 2016,10.1103/PhysRevD.94.072001,71.0,"[{'@_fa': 'true', 'affilname': 'European Organization for Nuclear Research', 'affiliation-city': 'Geneva', 'affiliation-country': 'Switzerland'}]",Journal,ar,Article,072001,21100779241.0,1.0,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}, {'$': 'Green'}]}",,,,2016
11,Measurement of the CKM angle γ from a combination of LHCb results,True,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85006717162'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85006717162?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85006717162&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85006717162&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85006717162,85006717162,2-s2.0-85006717162,,Journal of High Energy Physics,11266708,10298479,2016,12,,2016-12-01,1 December 2016,10.1007/JHEP12(2016)087,60.0,,Journal,ar,Article,87,28520.0,1.0,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",,,,2016
13,Observation of J /ψφ Structures Consistent with Exotic States from Amplitude Analysis of B+ →j /ψφK+ Decays,True,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85010440955'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85010440955?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85010440955&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85010440955&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85010440955,85010440955,2-s2.0-85010440955,Aaij R.,Physical Review Letters,00319007,10797114,118,2,,2017-01-11,11 January 2017,10.1103/PhysRevLett.118.022003,127.0,"[{'@_fa': 'true', 'affilname': 'European Organization for Nuclear Research', 'affiliation-city': 'Geneva', 'affiliation-country': 'Switzerland'}]",Journal,ar,Article,022003,29150.0,1.0,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}, {'$': 'Green'}]}",28128595.0,,,2017
15,Amplitude analysis of B+ →j /ψφK+ decays,True,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85010305383'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85010305383?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85010305383&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85010305383&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85010305383,85010305383,2-s2.0-85010305383,Aaij R.,Physical Review D,24700010,24700029,95,1,,2017-01-11,11 January 2017,10.1103/PhysRevD.95.012002,90.0,"[{'@_fa': 'true', 'affilname': 'European Organization for Nuclear Research', 'affiliation-city': 'Geneva', 'affiliation-country': 'Switzerland'}]",Journal,ar,Article,012002,21100779241.0,1.0,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}, {'$': 'Green'}]}",,,,2017
17,Measurement of CP Violation in B0 →d+D- Decays,True,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85007039299'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85007039299?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85007039299&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85007039299&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85007039299,85007039299,2-s2.0-85007039299,Aaij R.,Physical Review Letters,00319007,10797114,117,26,,2016-12-23,23 December 2016,10.1103/PhysRevLett.117.261801,16.0,"[{'@_fa': 'true', 'affilname': 'European Organization for Nuclear Research', 'affiliation-city': 'Geneva', 'affiliation-country': 'Switzerland'}]",Journal,ar,Article,261801,29150.0,1.0,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}, {'$': 'Green'}]}",,,,2016
24,Search for decays of neutral beauty mesons into four muons,True,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85014727132'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85014727132?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85014727132&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85014727132&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85014727132,85014727132,2-s2.0-85014727132,The LHCb collaboration ,Journal of High Energy Physics,11266708,10298479,2017,3,,2017-03-01,1 March 2017,10.1007/JHEP03(2017)001,7.0,,Journal,ar,Article,1,28520.0,1.0,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",,,,2017
30,Observation of cosmic-ray anisotropy with the icetop air shower array,True,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84874121785'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84874121785?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84874121785&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84874121785&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84874121785,84874121785,2-s2.0-84874121785,Aartsen M.G.,Astrophysical Journal,0004637X,15384357,765,1,,2013-03-01,1 March 2013,10.1088/0004-637X/765/1/55,101.0,"[{'@_fa': 'true', 'affilname': 'The University of Adelaide', 'affiliation-city': 'Adelaide', 'affiliation-country': 'Australia'}]",Journal,ar,Article,55,26765.0,0.0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",,,,2013
31,Search for Galactic PeV gamma rays with the IceCube Neutrino Observatory,True,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84875434365'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84875434365?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84875434365&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84875434365&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84875434365,84875434365,2-s2.0-84875434365,Aartsen M.G.,"Physical Review D - Particles, Fields, Gravitation and Cosmology",15507998,15502368,87,6,,2013-03-20,20 March 2013,10.1103/PhysRevD.87.062002,43.0,"[{'@_fa': 'true', 'affilname': 'The University of Adelaide', 'affiliation-city': 'Adelaide', 'affiliation-country': 'Australia'}]",Journal,ar,Article,062002,110157.0,1.0,True,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}, {'$': 'Green'}]}",,,,2013
32,Search for dark matter annihilations in the sun with the 79-string icecube detector,True,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84875731837'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84875731837?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84875731837&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84875731837&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84875731837,84875731837,2-s2.0-84875731837,Aartsen M.G.,Physical Review Letters,00319007,10797114,110,13,,2013-03-28,28 March 2013,10.1103/PhysRevLett.110.131302,258.0,"[{'@_fa': 'true', 'affilname': 'The University of Adelaide', 'affiliation-city': 'Adelaide', 'affiliation-country': 'Australia'}]",Journal,ar,Article,131302,29150.0,1.0,True,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}, {'$': 'Green'}]}",,,,2013
34,Measurement of South Pole ice transparency with the IceCube LED calibration system,True,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84874743378'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84874743378?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84874743378&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84874743378&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0168900213001460'}]",https://api.elsevier.com/content/abstract/scopus_id/84874743378,84874743378,2-s2.0-84874743378,Aartsen M.G.,"Nuclear Instruments and Methods in Physics Research, Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",01689002,,711,,73-89,2013-03-12,2013,10.1016/j.nima.2013.01.054,144.0,"[{'@_fa': 'true', 'affilname': 'The University of Adelaide', 'affiliation-city': 'Adelaide', 'affiliation-country': 'Australia'}]",Journal,ar,Article,,29067.0,0.0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",,S0168900213001460,,2013
