,dc:title,@_fa,link,prism:url,dc:identifier,eid,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,freetoread,freetoreadLabel,affiliation,pii,prism:isbn,pubmed-id
0,Measurement of the time-dependent $CP$ asymmetry in $B0̂ →J/ψK0̂_S$ decays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Measurement of the $B0̂$–$B̅0̂$ oscillation frequency $Δm_d$ with the decays $B0̂ →D-̂ π+̂$ and $B0̂ →J ψK*̂0̂$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Measurement of C P Violation in $B0̂ →J /ψ K_S0̂$ Decays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,First study of the CP -violating phase and decay-width difference in $B_B0̂→ψ(2S)ϕ$ decays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Measurement of forward $W→eν$ production in $pp$ collisions at $ √(s)=8 $ TeV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Search for structure in the $B_s0̂π±̂$ invariant mass spectrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Measurement of the ratio of branching fractions $ ℬ (B_c+̂ →J/ψK+̂)/ℬ(B_c+̂ →J/ψπ+̂)$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Measurement of the $B_s0̂ →J/ψη$ lifetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Study of $B_c+̂$ decays to the $K+̂K-̂π+̂$ final state and evidence for the decay $B_c+̂→χ_c0π+̂$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Amplitude analysis of $B-̂ →D+̂ π-̂ π-̂$ decays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Search for the $CP$-violating strong decays $η→π+̂π-̂$ and $η'̂(958) →π+̂π-̂$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Measurement of the CKM angle $γ$ from a combination of LHCb results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Measurements of the S-wave fraction in $B0̂→K+̂π-̂μ+̂μ-̂$ decays and the $B0̂→K∗̂(892)0̂μ+̂μ-̂$ differential branching fraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Observation of $J/ψϕ$ structures consistent with exotic states from amplitude analysis of $B+̂→J/ψϕK+̂$ decays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Amplitude analysis of $B+̂→J/ψϕK+̂$ decays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Measurement of the forward Z boson production cross-section in pp collisions at $√(s) = 13$ TeV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Measurement of $CP$ violation in $B0̂ →D+̂ D-̂$ decays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,First experimental study of photon polarization in radiative $B0̂_s$ decays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Differential branching fraction and angular moments analysis of the decay $B0̂ →K+̂ π-̂ μ+̂ μ-̂$ in the $K*̂_0,2(1430)0̂$ region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Observation of $B+̂→J/ψ3π+̂ 2π-̂$ and $B+̂→ψ(2S) π+̂π+̂π-̂$ decays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Observation of the decay $B0̂_s →ϕπ+̂π-̂$ and evidence for $B0̂ →ϕπ+̂π-̂$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,New algorithms for identifying the flavour of $B 0̂$ mesons using pions and protons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Observation of the annihilation decay mode $B0̂→K+̂K-̂$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Search for decays of neutral beauty mesons into four muons,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85014727132'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85014727132?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85014727132&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85014727132&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85014727132,SCOPUS_ID:85014727132,2-s2.0-85014727132,The LHCb collaboration ,Journal of High Energy Physics,11266708,10298479,2017,3,,2017-03-01,1 March 2017,10.1007/JHEP03(2017)001,7,Journal,ar,Article,1,28520,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",,,,
24,Measurement of the $b$-quark production cross-section in 7 and 13 TeV $pp$ collisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Observation of the suppressed decay $Λ0̂_b→pπ-̂μ+̂μ-̂$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Measurement of $CP$ violation in $B0̂→J/ψK0̂_ S $ and $B0̂→ψ(2S) K0̂_S$ decays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Measurement of $CP$ violation in $B0̂→D∓̂π±̂$ decays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Observation of the $B_s0̂ →D∗̂±̂ D∓̂$ decay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Observation of cosmic-ray anisotropy with the icetop air shower array,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84874121785'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84874121785?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84874121785&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84874121785&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84874121785,SCOPUS_ID:84874121785,2-s2.0-84874121785,Aartsen M.G.,Astrophysical Journal,0004637X,15384357,765,1,,2013-03-01,1 March 2013,10.1088/0004-637X/765/1/55,101,Journal,ar,Article,55,26765,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'The University of Adelaide', 'affiliation-city': 'Adelaide', 'affiliation-country': 'Australia'}]",,,
30,Search for Galactic PeV gamma rays with the IceCube Neutrino Observatory,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84875434365'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84875434365?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84875434365&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84875434365&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84875434365,SCOPUS_ID:84875434365,2-s2.0-84875434365,Aartsen M.G.,"Physical Review D - Particles, Fields, Gravitation and Cosmology",15507998,15502368,87,6,,2013-03-20,20 March 2013,10.1103/PhysRevD.87.062002,43,Journal,ar,Article,062002,110157,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'The University of Adelaide', 'affiliation-city': 'Adelaide', 'affiliation-country': 'Australia'}]",,,
31,Search for dark matter annihilations in the sun with the 79-string icecube detector,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84875731837'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84875731837?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84875731837&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84875731837&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84875731837,SCOPUS_ID:84875731837,2-s2.0-84875731837,Aartsen M.G.,Physical Review Letters,00319007,10797114,110,13,,2013-03-28,28 March 2013,10.1103/PhysRevLett.110.131302,258,Journal,ar,Article,131302,29150,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'The University of Adelaide', 'affiliation-city': 'Adelaide', 'affiliation-country': 'Australia'}]",,,
32,Measurement of the Atmospheric $v_e$ Flux in IceCube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Measurement of South Pole ice transparency with the IceCube LED calibration system,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84874743378'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84874743378?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84874743378&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84874743378&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0168900213001460'}]",https://api.elsevier.com/content/abstract/scopus_id/84874743378,SCOPUS_ID:84874743378,2-s2.0-84874743378,Aartsen M.G.,"Nuclear Instruments and Methods in Physics Research, Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",01689002,,711,,73-89,2013-03-12,2013,10.1016/j.nima.2013.01.054,144,Journal,ar,Article,,29067,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'The University of Adelaide', 'affiliation-city': 'Adelaide', 'affiliation-country': 'Australia'}]",S0168900213001460,,
34,First observation of PeV-energy neutrinos with IceCube,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84880116281'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84880116281?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84880116281&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84880116281&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84880116281,SCOPUS_ID:84880116281,2-s2.0-84880116281,Aartsen M.G.,Physical Review Letters,00319007,10797114,111,2,,2013-07-08,8 July 2013,10.1103/PhysRevLett.111.021103,598,Journal,ar,Article,021103,29150,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'The University of Adelaide', 'affiliation-city': 'Adelaide', 'affiliation-country': 'Australia'}]",,,
